134	26/09/1998	4,25,32,36,52,60
135	3/10/1998	21,22,35,40,53,59
136	10/10/1998	1,17,25,38,45,59
137	17/10/1998	15,16,19,22,26,49
138	24/10/1998	5,14,27,37,40,41
139	31/10/1998	3,13,26,27,41,42
140	7/11/1998	7,31,41,44,46,55
141	14/11/1998	10,13,22,41,42,58
142	21/11/1998	8,15,19,20,54,59
143	28/11/1998	6,18,20,40,50,53
144	5/12/1998	8,32,36,44,45,55
145	12/12/1998	15,16,31,41,43,51
146	19/12/1998	25,32,34,42,51,60
147	24/12/1998	6,16,23,24,28,38
148	31/12/1998	32,35,41,55,58,59
149	9/1/1999	7,11,20,28,45,48
150	16/01/1999	12,44,50,52,54,55
151	23/01/1999	3,16,20,43,52,56
152	30/01/1999	5,12,15,29,51,58
153	6/2/1999	2,30,31,42,45,47
154	13/02/1999	8,10,24,33,45,48
155	20/02/1999	12,30,32,35,43,44
156	27/02/1999	17,23,42,49,52,55
157	6/3/1999	4,13,17,21,41,44
158	13/03/1999	4,14,17,43,51,58
159	20/03/1999	9,11,16,35,50,58
160	27/03/1999	2,13,42,52,54,58
161	3/4/1999	6,25,30,37,39,41
162	10/4/1999	21,23,33,38,48,51
163	17/04/1999	8,27,36,41,53,56
164	24/04/1999	4,10,14,19,28,44
165	1/5/1999	10,19,23,35,39,56
166	8/5/1999	12,13,22,57,59,60
167	15/05/1999	1,11,28,33,38,48
168	22/05/1999	2,9,31,35,45,50
169	29/05/1999	1,13,21,37,51,52
170	5/6/1999	7,41,46,51,55,58
171	12/6/1999	4,27,40,43,46,54
172	19/06/1999	10,14,26,35,36,49
173	26/06/1999	17,28,29,42,49,50
174	3/7/1999	11,22,23,36,52,59
175	10/7/1999	1,10,13,20,42,50
176	17/07/1999	1,3,4,28,45,53
177	24/07/1999	22,35,38,39,41,59
178	31/07/1999	5,15,19,26,27,33
179	7/8/1999	5,6,23,26,27,53
180	14/08/1999	6,23,29,39,51,60
181	21/08/1999	1,27,33,35,51,55
182	28/08/1999	3,5,10,28,46,60
183	4/9/1999	2,7,11,16,40,44
184	11/9/1999	9,16,21,34,41,60
185	18/09/1999	17,22,43,46,55,59
186	25/09/1999	14,23,24,25,26,51
187	2/10/1999	6,36,41,44,48,58
188	10/10/1999	17,27,34,42,43,46
189	16/10/1999	4,15,31,38,41,53
190	24/10/1999	5,10,21,32,40,42
191	31/10/1999	1,3,5,23,41,58
192	6/11/1999	1,26,28,41,54,60
193	13/11/1999	4,11,12,19,43,49
194	20/11/1999	25,28,32,33,42,43
195	27/11/1999	3,9,17,32,37,44
196	4/12/1999	7,9,14,17,24,32
197	11/12/1999	5,12,15,19,29,52
198	18/12/1999	1,8,18,23,35,40
199	24/12/1999	10,16,37,50,52,57
200	31/12/1999	12,15,19,34,44,51
201	8/1/2000	5,20,22,30,35,55
202	15/01/2000	12,24,44,45,49,53
203	22/01/2000	11,19,29,44,47,55
204	29/01/2000	29,31,39,41,51,58
205	5/2/2000	26,32,40,43,46,54
206	12/2/2000	18,20,26,34,51,56
207	19/02/2000	3,7,19,24,53,55
208	26/02/2000	15,23,24,25,47,57
209	4/3/2000	13,21,26,32,41,52
210	11/3/2000	20,32,37,38,48,58
211	18/03/2000	10,20,33,40,45,50
212	25/03/2000	6,15,29,45,57,59
213	1/4/2000	3,9,23,30,32,35
214	8/4/2000	6,12,30,31,35,50
215	15/04/2000	7,28,37,46,53,58
216	22/04/2000	14,18,30,35,42,59
217	29/04/2000	3,27,32,45,49,51
218	6/5/2000	12,17,40,42,47,54
219	13/05/2000	23,26,28,36,42,49
220	20/05/2000	13,14,36,53,55,60
221	27/05/2000	13,27,43,50,54,58
222	3/6/2000	5,19,30,48,52,55
223	10/6/2000	2,6,22,24,28,58
224	17/06/2000	7,16,18,20,21,44
225	24/06/2000	2,4,16,21,37,58
226	1/7/2000	1,2,38,49,50,59
227	8/7/2000	11,26,27,37,42,48
228	15/07/2000	13,16,40,43,45,59
229	22/07/2000	11,13,21,33,39,45
230	29/07/2000	8,40,41,44,53,56
231	5/8/2000	16,27,36,42,44,59
232	12/8/2000	19,22,29,37,41,59
233	19/08/2000	3,7,24,32,36,45
234	26/08/2000	15,25,41,42,45,54
235	2/9/2000	2,22,29,31,41,55
236	9/9/2000	10,25,50,52,57,60
237	16/09/2000	7,31,36,45,56,57
238	23/09/2000	9,13,15,37,41,42
239	30/09/2000	6,21,33,44,46,47
240	7/10/2000	25,28,38,41,57,59
241	14/10/2000	11,31,35,40,56,57
242	21/10/2000	4,7,21,22,28,56
243	28/10/2000	11,16,20,23,32,47
244	4/11/2000	19,24,33,47,50,60
245	11/11/2000	8,27,44,51,53,60
246	18/11/2000	2,16,32,37,43,57
247	25/11/2000	3,10,23,30,34,46
248	2/12/2000	16,32,34,35,41,56
249	9/12/2000	21,36,40,49,54,55
250	16/12/2000	7,25,41,42,43,55
251	23/12/2000	15,23,30,34,49,55
252	30/12/2000	4,17,26,32,51,54
253	6/1/2001	11,12,24,37,44,56
254	13/01/2001	1,4,21,22,30,56
255	20/01/2001	16,19,20,32,44,55
256	27/01/2001	2,21,26,32,34,52
257	3/2/2001	1,4,5,19,28,34
258	10/2/2001	7,12,50,54,55,60
259	17/02/2001	13,15,20,33,43,58
260	24/02/2001	4,6,33,43,59,60
261	3/3/2001	5,16,20,30,54,56
262	10/3/2001	11,20,48,53,58,60
263	17/03/2001	8,9,26,43,50,53
264	24/03/2001	1,5,13,25,31,33
265	31/03/2001	7,16,34,41,50,53
266	7/4/2001	2,23,38,46,48,54
267	14/04/2001	1,8,45,46,55,58
268	21/04/2001	5,6,10,21,33,47
269	28/04/2001	17,18,19,25,49,52
270	5/5/2001	5,9,27,35,40,45
271	12/5/2001	14,24,26,29,31,54
272	19/05/2001	9,10,24,36,56,58
273	26/05/2001	10,17,23,27,47,52
274	2/6/2001	11,13,18,26,39,47
275	9/6/2001	16,19,30,37,38,48
276	16/06/2001	22,39,45,53,57,59
277	23/06/2001	4,26,38,40,52,56
278	30/06/2001	10,15,18,22,31,55
279	7/7/2001	4,23,31,47,58,59
280	14/07/2001	5,16,20,25,30,58
281	21/07/2001	5,11,31,38,47,53
282	28/07/2001	9,14,23,24,33,36
283	1/8/2001	25,28,34,42,48,54
284	4/8/2001	7,8,14,30,32,36
285	8/8/2001	12,32,37,41,50,56
286	11/8/2001	29,35,37,44,47,56
287	15/08/2001	3,13,25,33,47,60
288	18/08/2001	6,9,11,17,18,50
289	22/08/2001	6,7,20,25,30,36
290	25/08/2001	7,25,26,30,40,57
291	29/08/2001	5,16,17,18,22,41
292	1/9/2001	13,23,24,34,45,53
293	5/9/2001	5,6,7,12,28,35
294	8/9/2001	22,25,28,41,45,57
295	12/9/2001	7,12,24,31,44,50
296	15/09/2001	3,20,42,46,51,52
297	19/09/2001	1,20,28,33,36,41
298	22/09/2001	5,22,23,24,34,60
299	26/09/2001	2,5,7,33,49,53
300	29/09/2001	24,27,28,38,41,57
301	3/10/2001	9,26,48,49,57,58
302	6/10/2001	12,25,30,40,41,60
303	10/10/2001	7,13,17,30,37,47
304	13/10/2001	7,11,34,41,42,59
305	17/10/2001	5,11,27,38,53,60
306	20/10/2001	19,30,41,47,56,57
307	24/10/2001	13,16,17,26,41,44
308	27/10/2001	4,11,25,29,39,55
309	31/10/2001	4,11,25,39,50,55
310	3/11/2001	2,14,28,29,31,32
311	7/11/2001	22,24,30,32,38,41
312	10/11/2001	14,23,30,41,47,50
313	14/11/2001	14,16,24,37,38,53
314	17/11/2001	5,32,34,37,40,58
315	21/11/2001	12,21,22,28,43,50
316	24/11/2001	6,24,28,43,51,56
317	28/11/2001	16,20,27,30,35,48
318	1/12/2001	3,19,20,31,40,53
319	5/12/2001	12,16,17,19,23,48
320	8/12/2001	20,22,27,47,50,53
321	12/12/2001	4,11,31,32,48,49
322	15/12/2001	11,18,29,44,47,56
323	19/12/2001	26,31,33,40,49,54
324	22/12/2001	8,15,22,25,30,47
325	29/12/2001	1,3,4,21,23,53
326	5/1/2002	21,23,40,44,51,52
327	9/1/2002	29,32,33,38,46,48
328	12/1/2002	5,7,14,21,23,51
329	16/01/2002	10,11,12,24,35,40
330	19/01/2002	2,4,14,23,37,51
331	23/01/2002	1,13,20,27,35,37
332	26/01/2002	23,28,29,34,42,44
333	30/01/2002	4,27,35,44,52,53
334	2/2/2002	14,23,24,26,41,51
335	6/2/2002	7,23,33,43,57,59
336	9/2/2002	2,18,22,26,30,54
337	16/02/2002	4,14,16,31,52,54
338	20/02/2002	1,4,9,36,46,48
339	23/02/2002	5,12,13,16,27,50
340	27/02/2002	9,10,12,33,42,60
341	2/3/2002	5,16,22,23,43,56
342	6/3/2002	16,29,34,49,51,54
343	9/3/2002	4,6,7,12,24,41
344	13/03/2002	10,12,14,33,35,36
345	16/03/2002	11,22,46,51,56,58
